,,,,,,,,,,,,,,,VALIDAZIONE CATEGORIE,,,,,,,,
FITTING,Male Adaptor,20SW200086,20SAP200086,"DN 32 X 1""",PP STD - PN10,Butt / IT Welded - Male NPT ,Male Adaptor - NPT Thread,,Pcs,,nd,,,,,X,X,,,,,X,
FLESSIBILI,PFA,20SW200087,20SAP200087,"1/2""",PFA,FLESSIBILE,PFA - 450,,M,,nd,,,,X,X,X,,,,,X,
FLESSIBILI,pFA,20SW200088,20SAP200088,"3/4""",PFA,FLESSIBILE,PFA - 450,,M,,nd,,,,X,X,X,,,,,X,
FLESSIBILI,PFA,20SW200089,20SAP200089,"1""",PFA,FLESSIBILE,PFA - 450,,M,,nd,,,,X,X,X,,,,,X,
FLESSIBILI,PUSH-ON,20SW200090,20SAP200090,"1/2""",EPDM,FLESSIBILE,PUSH-ON,,M,,nd,,,,,X,,,,,,,
FLESSIBILI,PUSH-ON,20SW200091,20SAP200091,"3/4""",EPDM,FLESSIBILE,PUSH-ON,,M,,nd,,,,,X,,,,,,,
FLESSIBILI,PUSH-ON,20SW200092,20SAP200092,"1""",EPDM,FLESSIBILE,PUSH-ON,,M,,nd,,,,,X,,,,,,,
INSTRUMENT,FLOWMETER,20SW200093,20SAP200093,TBD,PP STD - PN10,Union End for Butt Weld / IR,FLOWMETER,,Pcs,GF (George Fischer),199335041+727508508,,,,,X,,,,,,,
INSTRUMENT,FLOWMETER,20SW200094,20SAP200094,TBD,PP STD - PN10,Union End for Butt Weld / IR,FLOWMETER,,Pcs,GF (George Fischer),199335042+727508509,,,,,X,,,,,,,
INSTRUMENT,FLOWMETER,20SW200095,20SAP200095,TBD,PP STD - PN10,Union End for Butt Weld / IR,FLOWMETER,,Pcs,GF (George Fischer),199335043+727508509,,,,,X,,,,,,,
INSTRUMENT,FLOWMETER,20SW200096,20SAP200096,TBD,PP STD - PN10,Union End for Butt Weld / IR,FLOWMETER,,Pcs,GF (George Fischer),199335048+727508511,,,,,X,,,,,,,
